text,label
Meeting at 3pm today please confirm immediately,urgent
Action required your account will be suspended in 24 hours,urgent
Please respond by end of day regarding the project deadline,urgent
Your payment is overdue please pay now,urgent
Urgent approval needed for the budget before tomorrow,urgent
Interview scheduled for tomorrow morning please confirm,urgent
Server is down please fix immediately,urgent
Final reminder submit your report by midnight tonight,urgent
Newsletter issue 42 top stories this week,not_urgent
Thanks for signing up here is your welcome email,not_urgent
Your monthly invoice is ready to view,not_urgent
Check out our new blog post on productivity tips,not_urgent
Weekly digest of updates from your team,not_urgent
Your order has been shipped estimated delivery in 5 days,not_urgent
Reminder to update your profile information,not_urgent
